fire_id,year,province,area_ha,nbac_source,start_date,end_date,cause,mapping_sensor,candidate_rank,selected_for_gate
2014_2151,2014,BC,7355.59224573,MAFiMS,2014-08-02,2014-08-28,Natural,Landsat,1,True
2014_612,2014,BC,17990.1393611,MAFiMS,2014-07-08,2014-09-21,Natural,Landsat,2,True
2016_174,2016,BC,5467.292147,MAFiMS,2016-04-09,2016-05-15,Human,Landsat,3,True
2017_1816,2017,BC,3848.49473199,MAFiMS,2017-07-17,2017-09-08,Natural,Landsat,4,True
2017_849,2017,BC,17158.8946224,MAFiMS,2017-07-10,2017-08-31,Natural,Landsat,5,True
2018_1274,2018,BC,5889.96800439,MAFiMS,2018-07-29,2018-08-22,Natural,Landsat,6,True
2018_1726,2018,BC,5742.45077073,MAFiMS,2018-08-07,2018-09-01,Natural,Landsat,7,True
2019_105,2019,BC,4688.26893925,MAFiMS,2019-05-26,2019-05-31,Natural,Landsat,8,True
2020_293,2020,BC,7188.43554295,MAFiMS,2020-08-18,2020-09-13,Natural,Landsat,9,True
2021_1183,2021,BC,12585.0381577,MAFiMS,2021-07-10,2021-08-15,Natural,Landsat,10,True
2021_1501,2021,BC,9813.37087071,MAFiMS,2021-07-01,2021-07-15,Natural,Landsat,11,True
2022_607,2022,BC,5507.08034938,MAFiMS,2022-09-02,2022-10-19,Natural,Landsat,12,True
