fire_id,year,rows_written,perimeter_pixels,forest_pixels,excluded_prefire_loss_pixels,spectral_valid_fraction_in_forest,terrain_valid_fraction_in_forest,target_mean,target_std,spatial_blocks
2014_2151,2014,71843,77848,72043,1403,1.0,1.0,0.555064857006073,0.21745431423187256,984
2014_612,2014,132098,194362,132243,50370,1.0,1.0,0.39556804299354553,0.18909494578838348,2391
2016_174,2016,53125,58072,53288,2354,1.0,1.0,0.0930636003613472,0.12086456269025803,1100
2017_1816,2017,33624,42394,33650,911,1.0,1.0,0.4494818150997162,0.24056917428970337,581
2017_849,2017,115316,185274,115398,63586,0.9997746928023016,1.0,0.36852338910102844,0.18936124444007874,2180
2018_1274,2018,45701,62327,46712,11886,1.0,1.0,0.6174072027206421,0.23958198726177216,655
2018_1726,2018,41431,61909,42562,16657,1.0,1.0,0.2057352066040039,0.18193405866622925,864
2019_105,2019,46262,49242,48873,225,1.0,1.0,0.44329676032066345,0.20203907787799835,693
2020_293,2020,50074,79232,54910,14211,0.989054816973229,1.0,0.5410137176513672,0.24607637524604797,937
2021_1183,2021,107380,139210,107414,21844,1.0,1.0,0.41665515303611755,0.16609063744544983,1685
2021_1501,2021,69997,104233,70461,30329,0.9956004030598488,1.0,0.4543960988521576,0.2294345647096634,1267
2022_607,2022,54363,61175,55529,4650,1.0,1.0,0.6057131290435791,0.24837389588356018,816
